website_id,category,scenario,technical_score,technical_norm,demographic_score,demographic_norm,final_score,rank,baseline_a_rank,baseline_b_rank,baseline_c_rank,stability_status,top_issue_1,top_issue_2,top_issue_3
W16,tangan,S1,0.0,0.0,0.001900016324,0.0356619676778101,0.010698590303,30,28,23,30,,SC 1.3.1,SC 1.4.4,SC 3.1.1
W33,tangan,S2,1.0568352187542591,0.702164266956443,0.004600099579,1.0,0.851082133478,1,15,13,1,,SC 4.1.2,SC 2.4.4,SC 1.1.1
W13,tangan,S2,1.5051110808232249,1.0,0.003600009721,0.6428166857361967,0.821408342868,2,1,1,13,,SC 1.3.1,SC 4.1.2,SC 1.1.1
W23,tangan,S2,0.8499386670301213,0.5647016209363397,0.003799937821,0.7142212508372509,0.639461435887,3,20,12,10,,SC 1.4.3,SC 4.1.2,SC 2.4.4
W14,tangan,S2,0.4361455635818455,0.2897763288961333,0.004399904304,0.9285000130213764,0.609138170959,4,27,25,2,,SC 1.3.1,SC 4.1.2,SC 1.4.3
W01,tangan,S2,0.8499386670301213,0.5647016209363397,0.003299987056,0.5356632244929582,0.550182422715,5,2,3,5,,SC 1.4.3,SC 1.1.1,SC 4.1.2
W27,tangan,S2,0.8499386670301213,0.5647016209363397,0.003299984825,0.5356624276885833,0.550182024312,6,17,21,7,,SC 4.1.2,SC 2.4.4,SC 1.3.1
W29,tangan,S2,1.0568352187542591,0.702164266956443,0.002800368911,0.3572239937879173,0.529694130372,7,26,6,6,,SC 1.4.3,SC 4.1.2,SC 2.4.4
W17,tangan,S2,0.8499386670301213,0.5647016209363397,0.003100043034,0.4642529728301573,0.514477296883,8,19,2,19,,SC 1.4.3,SC 1.3.1,SC 4.1.2
W19,tangan,S2,0.8499386670301213,0.5647016209363397,0.003000018294,0.4285290147720052,0.496615317854,9,23,5,3,,SC 4.1.2,SC 2.4.4,SC 1.4.3
W18,tangan,S2,0.8499386670301213,0.5647016209363397,0.002999981731,0.4285159562518984,0.496608788594,10,6,17,4,,SC 4.1.2,SC 2.4.4,SC 1.3.1
W25,tangan,S2,0.8499386670301213,0.5647016209363397,0.002999811995,0.428455334832188,0.496578477884,11,8,9,16,,SC 1.3.1,SC 1.4.3,SC 4.1.2
W34,tangan,S2,0.9740765980646042,0.6471792085484017,0.002700076058,0.3214042788443503,0.484291743696,12,13,8,12,,SC 1.4.3,SC 1.1.1,SC 4.1.2
W04,tangan,S2,0.8499386670301213,0.5647016209363397,0.002900036284,0.3928203177855424,0.478760969361,13,22,14,20,,SC 4.1.2,SC 2.4.4,SC 1.4.3
W22,tangan,S2,0.8499386670301213,0.5647016209363397,0.002800028694,0.3571024848708367,0.460902052904,14,16,14,23,,SC 1.4.3,SC 1.3.1,SC 4.1.2
W08,tangan,S2,0.7765026577620283,0.5159105315584535,0.002799947693,0.3570735552647546,0.436492043412,15,3,7,22,,SC 1.3.1,SC 1.1.1,SC 1.4.3
W15,tangan,S2,0.4827586206896551,0.3207461740469075,0.0033,0.5356678474583676,0.428207010753,16,29,23,18,,SC 1.3.1,SC 2.2.1,SC 1.4.3
W21,tangan,S2,0.8499386670301213,0.5647016209363397,0.002600051074,0.2856802336413003,0.425190927289,17,10,14,21,,SC 1.4.3,SC 4.1.2,SC 2.4.4
W09,tangan,S2,0.6799509336240972,0.4517612967490719,0.002899772514,0.3927261120078816,0.422243704378,18,5,11,24,,SC 4.1.2,SC 2.4.4,SC 1.3.1
W06,tangan,S2,0.7982145290990869,0.530335959431314,0.002599976897,0.2856537412351527,0.407994850333,19,14,19,17,,SC 4.1.2,SC 1.4.3,SC 2.4.4
W02,tangan,S2,0.8499386670301213,0.5647016209363397,0.0025,0.2499468703628847,0.40732424565,20,24,20,26,,SC 1.4.3,SC 4.1.2,SC 2.4.4
W11,tangan,S2,0.1744582254327382,0.1159105315584533,0.0036,0.6428132138691737,0.379361872714,21,11,27,15,,SC 1.1.1,SC 4.1.2,SC 1.3.1
W05,tangan,S2,0.8499386670301213,0.5647016209363397,0.002300129437,0.1785628546716544,0.371632237804,22,9,18,28,,SC 4.1.2,SC 2.4.4,SC 1.3.1
W31,tangan,S2,0.7671800463404662,0.5097165625282984,0.001999787426,0.0712953386144764,0.290505950571,23,12,4,25,,SC 1.3.1,SC 4.1.2,SC 1.4.3
W03,tangan,S2,0.2572168461223934,0.1708955899664946,0.002900046094,0.3928238214390239,0.281859705703,24,25,28,9,,SC 1.3.1,SC 1.4.3,SC 4.1.2
W20,tangan,S2,0.4361455635818455,0.2897763288961333,0.00250009023,0.2499790961175888,0.269877712507,25,18,10,14,,SC 1.4.3,SC 1.3.1,SC 1.1.1
