website_id,category,technical_score,technical_norm,demographic_score,demographic_norm,scenario,final_score,rank,baseline_a_rank,baseline_b_rank,baseline_c_rank,top_issue_1,top_issue_2,top_issue_3,stability_status
W01,melihat,52.364999999999995,1.0,0.0059,0.8095238095238093,S2,0.9047619047619047,1,1,1,3,1.4.3,1.1.1,2.4.4,Robust
W33,melihat,18.855,0.35265140538974216,0.0067,1.0,S2,0.676325702694871,2,10,12,1,4.1.2,2.4.4,1.1.1,Robust
W32,melihat,31.339999999999996,0.5938375350140056,0.0054,0.6904761904761905,S2,0.642156862745098,3,2,2,5,1.4.3,1.1.1,4.1.2,Cukup stabil
W18,melihat,22.009999999999998,0.4135999227277118,0.006,0.8333333333333333,S2,0.6234666280305226,4,6,8,2,4.1.2,2.4.4,1.1.1,Sensitif
W19,melihat,12.445,0.22882256350816194,0.0056,0.7380952380952379,S2,0.48345890080169995,5,18,19,4,4.1.2,1.4.3,2.4.4,Sensitif
W34,melihat,22.044999999999998,0.4142760552496861,0.0048,0.5476190476190474,S2,0.48094755143436674,6,8,7,9,1.4.3,4.1.2,1.1.1,Sensitif
W06,melihat,25.5125,0.48126147010528353,0.0043,0.4285714285714285,S2,0.454916449338356,7,7,3,12,4.1.2,1.4.3,2.4.4,Sensitif
W27,melihat,18.65,0.3486912006181783,0.0047,0.5238095238095237,S2,0.43625036221385105,8,14,13,10,4.1.2,2.4.4,1.1.1,Sensitif
W29,melihat,7.05,0.12460156476383658,0.0054,0.6904761904761905,S2,0.4075388776200135,9,24,24,5,1.4.3,4.1.2,2.4.4,Sensitif
W21,melihat,19.740000000000002,0.36974789915966394,0.0043,0.4285714285714285,S2,0.39915966386554624,10,10,10,12,1.4.3,2.4.4,4.1.2,Sensitif
W20,melihat,12.3,0.22602144305998267,0.0049,0.5714285714285713,S2,0.39872500724427695,11,22,20,8,1.4.3,4.1.2,1.1.1,Sensitif
W11,melihat,24.169999999999998,0.4553269583695547,0.0038,0.3095238095238095,S2,0.38242538394668213,12,12,6,18,1.1.1,4.1.2,1.4.3,Sensitif
W13,melihat,25.06,0.47252004249975854,0.0035,0.23809523809523805,S2,0.3553076402974983,13,3,4,22,1.1.1,4.1.2,1.4.3,Sensitif
W08,melihat,25.044999999999998,0.4722302714189124,0.0035,0.23809523809523805,S2,0.3551627547570752,14,5,5,22,1.1.1,1.4.3,4.1.2,Sensitif
W24,melihat,0.6000000000000001,0.0,0.0054,0.6904761904761905,S2,0.34523809523809523,15,30,30,5,3.1.1,-,-,Sensitif
W31,melihat,13.709999999999999,0.253259924659519,0.0043,0.4285714285714285,S2,0.34091567661547373,16,20,16,12,4.1.2,1.4.3,1.1.1,Sensitif
W23,melihat,15.255,0.2831063459866706,0.0041,0.380952380952381,S2,0.33202936346952583,17,13,14,17,1.4.3,2.4.4,4.1.2,Sensitif
W04,melihat,12.209999999999999,0.22428281657490584,0.0042,0.40476190476190466,S2,0.3145223606684052,18,15,21,16,4.1.2,2.4.4,1.4.3,Sensitif
W03,melihat,3.4200000000000004,0.05447696319907275,0.0047,0.5238095238095237,S2,0.2891432435042982,19,26,26,10,1.4.3,4.1.2,2.4.4,Sensitif
W22,melihat,13.169999999999998,0.24282816574905824,0.0037,0.2857142857142857,S2,0.26427122573167194,20,17,18,20,1.4.3,4.1.2,2.4.4,Sensitif
W05,melihat,19.330000000000002,0.3618274896165363,0.0032,0.16666666666666666,S2,0.2642470781416015,21,9,11,26,4.1.2,2.4.4,1.1.1,Sensitif
