website_id,category,issue_rank,wcag_sc,page_id,page_url
W14,melihat,1,4.1.2,P069,https://dinsos.jogjaprov.go.id/informasi
W14,melihat,1,4.1.2,P070,https://dinsos.jogjaprov.go.id/#
W14,melihat,2,1.4.3,P068,https://dinsos.jogjaprov.go.id/layanan
W14,melihat,2,1.4.3,P069,https://dinsos.jogjaprov.go.id/informasi
W14,melihat,3,3.1.1,P066,https://dinsos.jogjaprov.go.id/
W14,melihat,3,3.1.1,P067,https://dinsos.jogjaprov.go.id/#
W14,melihat,3,3.1.1,P068,https://dinsos.jogjaprov.go.id/layanan
W14,melihat,3,3.1.1,P069,https://dinsos.jogjaprov.go.id/informasi
W14,melihat,3,3.1.1,P070,https://dinsos.jogjaprov.go.id/#
W14,tangan,1,4.1.2,P066,https://dinsos.jogjaprov.go.id/
W14,tangan,1,4.1.2,P067,https://dinsos.jogjaprov.go.id/#
W14,tangan,1,4.1.2,P068,https://dinsos.jogjaprov.go.id/layanan
W14,tangan,1,4.1.2,P069,https://dinsos.jogjaprov.go.id/informasi
W14,tangan,1,4.1.2,P070,https://dinsos.jogjaprov.go.id/#
W15,melihat,1,1.4.3,P071,https://dinsos.jatimprov.go.id/
W15,melihat,1,1.4.3,P072,https://dinsos.jatimprov.go.id/profil
W15,melihat,1,1.4.3,P073,https://dinsos.jatimprov.go.id/menu/layanan
W15,melihat,1,1.4.3,P074,https://dinsos.jatimprov.go.id/list-kegiatan
W15,melihat,1,1.4.3,P075,https://dinsos.jatimprov.go.id/laporan-publik
W15,melihat,2,2.2.1,P071,https://dinsos.jatimprov.go.id/
W15,melihat,2,2.2.1,P072,https://dinsos.jatimprov.go.id/profil
W15,melihat,2,2.2.1,P073,https://dinsos.jatimprov.go.id/menu/layanan
W15,melihat,2,2.2.1,P074,https://dinsos.jatimprov.go.id/list-kegiatan
W15,melihat,2,2.2.1,P075,https://dinsos.jatimprov.go.id/laporan-publik
W15,tangan,1,2.2.1,P071,https://dinsos.jatimprov.go.id/
W15,tangan,1,2.2.1,P072,https://dinsos.jatimprov.go.id/profil
W15,tangan,1,2.2.1,P073,https://dinsos.jatimprov.go.id/menu/layanan
W15,tangan,1,2.2.1,P074,https://dinsos.jatimprov.go.id/list-kegiatan
W15,tangan,1,2.2.1,P075,https://dinsos.jatimprov.go.id/laporan-publik
W16,melihat,1,1.4.4,P076,https://dinsos.bantenprov.go.id/
W16,melihat,1,1.4.4,P077,https://dinsos.bantenprov.go.id/sejarah-banten
W16,melihat,1,1.4.4,P078,https://dinsos.bantenprov.go.id/kebijakan-pelayanan-informasi-publik
W16,melihat,1,1.4.4,P079,https://dinsos.bantenprov.go.id/kategori/9fcd9da3-756c-46af-ba9f-bfb06ac57533/artikel
W16,melihat,1,1.4.4,P080,https://dinsos.bantenprov.go.id/tata-cara-pengaduan
W16,melihat,2,3.1.1,P076,https://dinsos.bantenprov.go.id/
W16,melihat,2,3.1.1,P077,https://dinsos.bantenprov.go.id/sejarah-banten
W16,melihat,2,3.1.1,P078,https://dinsos.bantenprov.go.id/kebijakan-pelayanan-informasi-publik
W16,melihat,2,3.1.1,P079,https://dinsos.bantenprov.go.id/kategori/9fcd9da3-756c-46af-ba9f-bfb06ac57533/artikel
W16,melihat,2,3.1.1,P080,https://dinsos.bantenprov.go.id/tata-cara-pengaduan
W16,tangan,1,1.4.4,P076,https://dinsos.bantenprov.go.id/
W16,tangan,1,1.4.4,P077,https://dinsos.bantenprov.go.id/sejarah-banten
