page_id,website_id,page_url,page_type,selection_reason,http_status,render_status,tested_at
P139,W28,https://dinsos.sultraprov.go.id/page/berita/0,Konten,"Dipilih dari page_candidates.csv (requests) - link: Berita, keyword: berita",,,
P140,W28,https://dinsos.sultraprov.go.id/page/contact_us,Interaksi/Kontak,"Dipilih dari page_candidates.csv (requests) - link: Kontak, keyword: kontak",,,
P141,W29,https://dinsos.gorontaloprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P142,W29,https://dinsos.gorontaloprov.go.id/struktur-organisasi-dinsos-dukcapil-provgorontalo-th-2025,Profil,"Auto-dipilih (link: ""Struktur Organisasi"", keyword: struktur) - REVIEW",,,
P143,W29,https://dinsos.gorontaloprov.go.id/layanan,Layanan,"Auto-dipilih (link: ""Lihat Layanan"", keyword: layanan) - REVIEW",,,
P144,W29,https://dinsos.gorontaloprov.go.id/berita,Konten,"Auto-dipilih (link: ""Berita Terbaru"", keyword: berita) - REVIEW",,,
P145,W29,https://dinsos.gorontaloprov.go.id/,Interaksi/Kontak,ada di footer,,,
P146,W30,https://dinsosp3apmd.sulbarprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P147,W30,https://dinsosp3apmd.sulbarprov.go.id/page/profil,Profil,"Auto-dipilih (link: ""PROFIL"", keyword: profil) - REVIEW",,,
P148,W30,https://dinsosp3apmd.sulbarprov.go.id/page/layanan,Layanan,"Auto-dipilih (link: ""Layanan"", keyword: layanan) - REVIEW",,,
P149,W30,https://dinsosp3apmd.sulbarprov.go.id/page/informasi-berkala,Konten,"Auto-dipilih (link: ""INFORMASI PUBLIK"", keyword: informasi) - REVIEW",,,
P150,W30,https://dinsosp3apmd.sulbarprov.go.id/,Interaksi/Kontak,ada di sidebarnya,,,
P151,W31,https://dinsos.malukuprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P152,W31,https://dinsos.malukuprov.go.id/,Profil,"Auto-dipilih (link: ""PROFIL"", keyword: profil) - REVIEW",,,
P153,W31,https://dinsos.malukuprov.go.id/halaman/detail/moto-pelayanan,Layanan,"Auto-dipilih (link: ""Motto dan Maklumat"", keyword: layanan) - REVIEW",,,
P154,W31,https://dinsos.malukuprov.go.id/berita,Konten,"Auto-dipilih (link: ""Berita & Kegiatan"", keyword: berita) - REVIEW",,,
P155,W31,https://dinsos.malukuprov.go.id/aduan,Interaksi/Kontak,"Auto-dipilih (link: ""Form Pengaduan internal"", keyword: pengaduan) - REVIEW",,,
P156,W32,https://malutprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P157,W32,https://malutprov.go.id/pages/tentang-maluku-utara,Profil,"Auto-dipilih (link: ""Tentang"", keyword: tentang) - REVIEW",,,
P158,W32,https://malutprov.go.id/sinergi-pemprov-malut-dan-ombudsman-ri-dorong-pelayanan-publik-bebas-maladministrasi,Layanan,"Auto-dipilih (link: ""Sekprov30 Jul 2026Sinergi Pemprov Malut dan Ombudsman RI Dorong Pelayanan Publik"", keyword: layanan) - REVIEW",,,
P159,W32,https://malutprov.go.id/pages/informasi-berkala,Konten,"Auto-dipilih (link: ""Informasi Berkala"", keyword: informasi) - REVIEW",,,
P160,W32,https://malutprov.go.id/kontak,Interaksi/Kontak,"Auto-dipilih (link: ""Hubungi Kami"", keyword: kontak) - REVIEW",,,
P161,W33,https://dinsosdukcapil.papua.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P162,W33,https://dinsosdukcapil.papua.go.id/pages/visi-misi,Profil,"Auto-dipilih (link: ""Visi Misi"", keyword: visi) - REVIEW",,,
P163,W33,https://dinsosdukcapil.papua.go.id/pages/sub-bagian-program,Layanan,"Auto-dipilih (link: ""Sub Bagian Program"", keyword: program) - REVIEW",,,
P164,W33,https://dinsosdukcapil.papua.go.id/pages/berita,Konten,"Auto-dipilih (link: ""Berita"", keyword: berita) - REVIEW",,,
P165,W33,https://dinsosdukcapil.papua.go.id/pages/layanan-pengaduan-masyarakat,Interaksi/Kontak,"Auto-dipilih (link: ""Layanan Pengaduan Masyarakat"", keyword: pengaduan) - REVIEW",,,
P166,W34,https://dinsos.papuabaratprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P167,W34,https://dinsos.papuabaratprov.go.id/pages/struktur-organisasi,Profil,"Auto-dipilih (link: ""Struktur Organisasi"", keyword: struktur) - REVIEW",,,
P168,W34,https://dinsos.papuabaratprov.go.id/cekstatus,Layanan,"Auto-dipilih (link: ""Cek Status Permohonan"", keyword: permohonan) - REVIEW",,,
P169,W34,https://dinsos.papuabaratprov.go.id/permintaaninformasi,Konten,"Auto-dipilih (link: ""Form Permintaan Informasi"", keyword: informasi) - REVIEW",,,
P170,W34,https://dinsos.papuabaratprov.go.id/pages/kontak,Interaksi/Kontak,"Auto-dipilih (link: ""Kontak"", keyword: kontak) - REVIEW",,,
