website_id,page_type,candidate_url,link_text,matched_keyword
W14,Layanan,https://dinsos.jogjaprov.go.id/page/6e81ad57-d317-4fc5-9817-f3effd135776,Program Kegiatan Tahun 2025,program
W14,Layanan,https://dinsos.jogjaprov.go.id/page/87438a6c-e223-419c-bd5b-7448414e4b2b,Jadwal Pelaksanaan Program dan Kegiatan,program
W14,Layanan,https://dinsos.jogjaprov.go.id/page/1be61527-0a7a-4453-8e90-cc6262d22e9f,Program Kegiatan Tahun 2026,program
W14,Konten,https://dinsos.jogjaprov.go.id/page/6e81ad57-d317-4fc5-9817-f3effd135776,Program Kegiatan Tahun 2025,kegiatan
W14,Konten,https://dinsos.jogjaprov.go.id/page/87438a6c-e223-419c-bd5b-7448414e4b2b,Jadwal Pelaksanaan Program dan Kegiatan,kegiatan
W14,Konten,https://dinsos.jogjaprov.go.id/page/1be61527-0a7a-4453-8e90-cc6262d22e9f,Program Kegiatan Tahun 2026,kegiatan
W14,Interaksi/Kontak,https://dinsos.jogjaprov.go.id/page/a03b8263-f8d2-49e5-9da8-2b6af8925616,Pengaduan Penyalahgunaan Wewenang,pengaduan
W14,Interaksi/Kontak,https://dinsos.jogjaprov.go.id/page/0de85e74-a6b3-4ee4-aa2c-0cf8379d9301,Formulir Permohonan Informasi,formulir
W14,Interaksi/Kontak,https://dinsos.jogjaprov.go.id/page/78e38f81-906c-4141-aef1-5e9e489187e4,Formulir Keberatan,formulir
W15,Profil,https://dinsos.jatimprov.go.id/profil,Provinsi,profil
W15,Profil,https://dinsos.jatimprov.go.id/profil/upt,UPT,profil
W15,Profil,https://dinsos.jatimprov.go.id/publik-ppid/menu/profil,PPID,profil
W15,Layanan,https://dinsos.jatimprov.go.id/menu/layanan,Layanan,layanan
W15,Layanan,https://dinsos.jatimprov.go.id/laporan-publik,Layanan Pengaduan,layanan
W15,Layanan,https://dinsos.jatimprov.go.id/simlontar/,Pelayanan Orang Terlantar (OT),layanan
W15,Konten,https://dinsos.jatimprov.go.id/list-kegiatan,Kegiatan,kegiatan
W15,Konten,https://dinsos.jatimprov.go.id/berita-publik,Berita,berita
W15,Konten,https://dinsos.jatimprov.go.id/detail-berita-publik/tagana-gresik-ambil-peran-dalam-persiapan-mpls-srt-1-gresik,,berita
W15,Interaksi/Kontak,https://dinsos.jatimprov.go.id/laporan-publik,Layanan Pengaduan,pengaduan
W16,Profil,https://dinsos.bantenprov.go.id/sejarah-banten,Sejarah Banten,sejarah
W16,Profil,https://dinsos.bantenprov.go.id/profil-dinas-sosial,Profil Dinas Sosial,profil
W16,Profil,https://dinsos.bantenprov.go.id/tugas-dan-fungsi,Tugas dan Fungsi,tugas dan fungsi
W16,Layanan,https://dinsos.bantenprov.go.id/kebijakan-pelayanan-informasi-publik,Kebijakan Pelayanan Informasi Publik,layanan
W16,Layanan,https://dinsos.bantenprov.go.id/visi-dan-misi-pelayanan-publik,"Maklumat, Visi dan Misi Pelayanan Publik",layanan
W16,Layanan,https://dinsos.bantenprov.go.id/SK-Pelayanan-Publik,SK Pelayanan Publik,layanan
W16,Konten,https://dinsos.bantenprov.go.id/kategori/9fcd9da3-756c-46af-ba9f-bfb06ac57533/artikel,Artikel,artikel
W16,Konten,https://dinsos.bantenprov.go.id/kategori/8722e690-845f-48ce-bbac-dd6b889d2414/berita,Berita,berita
W16,Konten,https://dinsos.bantenprov.go.id/kategori/03f163f0-cd2a-48cc-b855-3960b21db40f/pengumuman,Pengumuman,pengumuman
W16,Interaksi/Kontak,https://dinsos.bantenprov.go.id/tata-cara-pengaduan,Tata Cara Pengaduan,pengaduan
W16,Interaksi/Kontak,https://dinsos.bantenprov.go.id/Laporan-Evaluasi-Pengaduan,Laporan Evaluasi Pengaduan,pengaduan
W17,Profil,,TIDAK KETEMU (Selenium juga) - cek manual,
W17,Layanan,,TIDAK KETEMU (Selenium juga) - cek manual,
W17,Konten,,TIDAK KETEMU (Selenium juga) - cek manual,
W17,Interaksi/Kontak,,TIDAK KETEMU (Selenium juga) - cek manual,
W18,Profil,https://dinsosntbpemprov.com/profile/,Profil Kepala Dinas,profil
W18,Profil,https://dinsosntbpemprov.com/struktur-organisasi/,Bagan Struktur Organisasi Dinas Sosial,struktur
W18,Profil,https://dinsosntbpemprov.com/tugas-dan-fungsi-dinas-sosial/,Tugas dan Fungsi Dinas Sosial,tugas dan fungsi
W18,Layanan,https://dinsosntbpemprov.com/tata-cara-permohonan-pengajuan-informasi-dan-permohonan-keberatan/,Tata Cara Permohonan Pengajuan Informasi dan Permohonan Keberatan,permohonan
W18,Layanan,https://dinsosntbpemprov.com/form-pengajuan-permohonan-informasi-publik/,Form Pengajuan Permohonan Informasi Publik,permohonan
W18,Layanan,https://dinsosntbpemprov.com/cek-status-permohonan-informasi-publik/,Cek Status Permohonan Informasi Publik,permohonan
W18,Konten,https://dinsosntbpemprov.com/tata-cara-permohonan-pengajuan-informasi-dan-permohonan-keberatan/,Tata Cara Permohonan Pengajuan Informasi dan Permohonan Keberatan,informasi
W18,Konten,https://dinsosntbpemprov.com/form-pengajuan-permohonan-informasi-publik/,Form Pengajuan Permohonan Informasi Publik,informasi
W18,Konten,https://dinsosntbpemprov.com/cek-status-permohonan-informasi-publik/,Cek Status Permohonan Informasi Publik,informasi
W18,Interaksi/Kontak,,TIDAK KETEMU (Selenium juga) - cek manual,
W19,Profil,https://dinsos.nttprov.go.id/profil-dinas,Profil,profil
W19,Profil,https://dinsos.nttprov.go.id/profil-dinas?tab=selayang,Selayang Pandang,profil
W19,Profil,https://dinsos.nttprov.go.id/profil-dinas?tab=sejarah,Sejarah,profil
W19,Layanan,https://dinsos.nttprov.go.id/layanan/pengaduan,Pengaduan,layanan
W19,Layanan,https://dinsos.nttprov.go.id/berita/detail/gerakan-1000-hari-menuju-bahagia-uptd-kesos-lansia-budi-agung-salurkan-bantuan-wapres-untuk-lanjut-usia-di-luar-panti,,bantuan
W19,Layanan,https://dinsos.nttprov.go.id/berita/detail/dinas-sosial-provinsi-ntt-perkuat-koordinasi-dan-transparansi-program-perlindungan-sosial,,program
W19,Konten,https://dinsos.nttprov.go.id/berita,Berita,berita
W19,Konten,https://dinsos.nttprov.go.id/berita/detail/dinas-sosial-ntt-dorong-penguatan-perlindungan-sosial-dalam-pembahasan-kua-ppas-apbd-2027,,berita
W19,Konten,https://dinsos.nttprov.go.id/berita/detail/uji-keterbukaan-informasi-publik-dinas-sosial-ntt-jalani-monitoring-dan-evaluasi-tahun-2026,,berita
W19,Interaksi/Kontak,https://dinsos.nttprov.go.id/kontak,Kontak,kontak
W19,Interaksi/Kontak,https://dinsos.nttprov.go.id/layanan/pengaduan,Pengaduan,pengaduan
W20,Profil,https://dinsos.kalbarprov.go.id/profil/struktur-organisasi/,Struktur Organisasi,profil
W20,Profil,https://dinsos.kalbarprov.go.id/ppid/profil-ppid/,Profil PPID,profil
W20,Profil,https://dinsos.kalbarprov.go.id/ppid/struktur-ppid/,Struktur PPID,struktur
W20,Layanan,https://dinsos.kalbarprov.go.id/infografis/perbaiki-layanan-publik/,Perbaiki Layanan Publik,layanan
W20,Layanan,https://dinsos.kalbarprov.go.id/infografis/alur-pelayanan-dinas-sosial-provinsi-kalimantan-barat/,Alur Pelayanan Dinas Sosial Provinsi Kalimantan Barat,layanan
W20,Layanan,https://dinsos.kalbarprov.go.id/berita/dukung-gmd-di-temajuk-dinsos-kalbar-dekatkan-layanan-dtks-hingga-salurkan-bantuan-paket-sekolah/,"12 Jun 26Dukung GMD di Temajuk, Dinsos Kalbar Dekatkan Layanan DTKS hingga Salur",layanan
W20,Konten,https://dinsos.kalbarprov.go.id/berita,Berita,berita
W20,Konten,https://dinsos.kalbarprov.go.id/kumpulan-data-dan-laporan-kegiatan,Kumpulan Data dan Laporan Kegiatan,kegiatan
W20,Konten,https://dinsos.kalbarprov.go.id/berita/dinsos-kalbar-tetapkan-calon-peserta-didik-sekolah-rakyat-melalui-rapat-pleno-terbuka/,19 Jun 26Dinsos Kalbar Tetapkan Calon Peserta Didik Sekolah Rakyat Melalui Rapat,berita
W20,Interaksi/Kontak,https://dinsos.kalbarprov.go.id/hubungi-kami,Hubungi Kami,hubungi
W20,Interaksi/Kontak,https://dinsos.kalbarprov.go.id/infografis/alur-pengaduan-dinas-sosial-provinsi-kalimantan-barat/,Alur Pengaduan Dinas Sosial Provinsi Kalimantan Barat,pengaduan
W21,Profil,https://dinsos.kalteng.go.id/tentang/visi,Visi Dinas Sosial,tentang
W21,Profil,https://dinsos.kalteng.go.id/tentang/misi,Misi Dinas Sosial,tentang
W21,Profil,https://dinsos.kalteng.go.id/tentang/motto-dinas-sosial,Motto Dinas Sosial,tentang
W21,Layanan,https://dinsos.kalteng.go.id/pelayanan/pmks,PMKS,layanan
W21,Layanan,https://dinsos.kalteng.go.id/pelayanan/psks,PSKS,layanan
W21,Layanan,https://dinsos.kalteng.go.id/pelayanan/maklumat-pelayanan,Maklumat Pelayanan,layanan
W21,Konten,https://dinsos.kalteng.go.id/kabar/kategori/artikel,Artikel,artikel
W21,Konten,https://dinsos.kalteng.go.id/kabar/kategori/berita,Berita,berita
W21,Konten,https://dinsos.kalteng.go.id/kabar/kategori/pengumuman,Pengumuman,pengumuman
W21,Interaksi/Kontak,https://dinsos.kalteng.go.id/kontak-kami,Kontak,kontak
W22,Profil,https://dinsos.kalselprov.go.id/user/profil/VISI-DAN-MISI,VISI DAN MISI,profil
W22,Profil,https://dinsos.kalselprov.go.id/service-details.html,Profile SKPD,profil
W22,Layanan,https://dinsos.kalselprov.go.id/user/layanan/Pengangkatan-Anak,Standar Pelayanan Pengangkatan Anak,layanan
W22,Layanan,https://dinsos.kalselprov.go.id/user/layanan/Standar-Pelayanan-Penerbitan-Surat-Tanda-Pendaftaran-Lembaga-Kesejahteraan-Sosial-(LKS),Standar Pelayanan Penerbitan Surat Tanda Pendaftaran Lembaga Kesejahteraan Sosia,layanan
W22,Layanan,https://dinsos.kalselprov.go.id/user/layanan/Standar-Pelayanan-Pemulangan-Orang-Terlantar,Standar Pelayanan Pemulangan Orang Terlantar,layanan
W22,Konten,https://dinsos.kalselprov.go.id/user/berita?page=1,INFORMASI,berita
W22,Konten,https://dinsos.kalselprov.go.id/user/berita_detail/SP,,berita
W22,Konten,https://dinsos.kalselprov.go.id/user/berita_detail/SKM-2025,,berita
W22,Interaksi/Kontak,https://dinsos.kalselprov.go.id/user/kontak,KONTAK KAMI,kontak
W22,Interaksi/Kontak,https://dinsos.kalselprov.go.id/contactus.html,Contact,contact
W23,Profil,https://dinsos.kaltimprov.go.id/profil-dinsos,Tentang,profil
W23,Profil,https://dinsos.kaltimprov.go.id/visi-misi,Visi & Misi,visi
W23,Profil,https://dinsos.kaltimprov.go.id/sejarah,Sejarah,sejarah
W23,Layanan,https://dinsos.kaltimprov.go.id/maklumat-pelayanan-2,Maklumat Pelayanan,layanan
W23,Layanan,https://dinsos.kaltimprov.go.id/alur-permohonan-informasi,Alur Permohonan Informasi,permohonan
W23,Konten,https://dinsos.kaltimprov.go.id/berita,Media Center,berita
W23,Konten,https://dinsos.kaltimprov.go.id/alur-permohonan-informasi,Alur Permohonan Informasi,informasi
W23,Konten,https://dinsos.kaltimprov.go.id/berita/menjelang-purna-tugas-musa-pimpin-senam-pagi-bersama-klien-uptd-prsts-hm,"“Menjelang Purna Tugas, Musa Pimpin Senam Pagi Bersama Klien UPTD PRSTS HM”",berita
W23,Interaksi/Kontak,https://dinsos.kaltimprov.go.id/kontak,Kontak,kontak
W24,Profil,https://dinsos.kaltaraprov.go.id/Profil,Profil,profil
W24,Profil,https://dinsos.kaltaraprov.go.id/profil-ppid-dinas-sosial-2/,PPID,profil
W24,Layanan,https://dinsos.kaltaraprov.go.id/pelayanan-pengaduan/,Layanan,layanan
W24,Layanan,https://dinsos.kaltaraprov.go.id/unit-kerja/,Layanan Sosial,layanan
W24,Konten,https://dinsos.kaltaraprov.go.id/elementor-6083,Berita Kaltara,berita
W24,Interaksi/Kontak,https://dinsos.kaltaraprov.go.id/pelayanan-pengaduan/,Layanan,pengaduan
W24,Interaksi/Kontak,https://dinsos.kaltaraprov.go.id/formulir-pengaduan/,Pengaduan,pengaduan
W25,Profil,https://sulutprov.go.id/profil,Profil,profil
W25,Profil,https://sulutprov.go.id/profil-sekprov,SEKDAPROV,profil
W25,Layanan,https://sulutprov.go.id/press-release/gubernur-yulius-pastikan-negara-hadir-bantuan-untuk-korban-kebakaran-asgap-pakowa-disalurkan,"30 Juli 2026Gubernur Yulius Pastikan Negara Hadir, Bantuan untuk Korban Kebakara",bantuan
W25,Layanan,https://sulutprov.go.id/berita/bi-serahkan-mobil-hibah-ke-sinode-gmibm-gubernur-yulius-pemerintah-juga-siap-dukung-kebutuhan-pelayanan-gereja,"10 Mar 2026BI Serahkan Mobil Hibah ke Sinode GMIBM, Gubernur Yulius: Pemerintah ",layanan
W25,Konten,https://sulutprov.go.id/berita,Berita,berita
W25,Konten,https://sulutprov.go.id/informasi-berkala,Informasi Berkala,informasi
W25,Konten,https://sulutprov.go.id/informasi-setiap-saat,Informasi Setiap Saat,informasi
W25,Interaksi/Kontak,,TIDAK KETEMU (Selenium juga) - cek manual,
W26,Profil,,TIDAK KETEMU (Selenium juga) - cek manual,
W26,Layanan,,TIDAK KETEMU (Selenium juga) - cek manual,
W26,Konten,,TIDAK KETEMU (Selenium juga) - cek manual,
